id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
DE-102018002977-A1,Messger?t ,Wika Alexander Wiegand Se & Co. Kg,"Auf Teilnichtnennung Antrag, Peter BRETZ, Markus Diener, Thomas Rothenbach",2017/5/11,2018/4/12,2018/11/15,,https://patents.google.com/patent/DE102018002977A1/de,https://patentimages.storage.googleapis.com/80/35/d9/d13a5defbf85a0/DE102018002977A1_0001.png
DE-102017007516-A1,USD (Universal Security Device) ,Bernhard B?ttcher,Anmelder Gleich,2017/8/9,2017/8/9,2019/2/14,,https://patents.google.com/patent/DE102017007516A1/de,https://patentimages.storage.googleapis.com/c6/8b/47/734cfc7b38aa00/DE102017007516A1_0001.png
DE-102016101729-B4,"IoT-Hardware-Modul, Funktionseinheit f?r IoT-Anwendungen mit einem solchen IoT-Hardware-Modul sowie System f?r IoT-Anwendungen mit mehreren solchen Funktionseinheiten ",Fujitsu Client Computing Limited,"Timo Bruderek, Thilo Cestonaro",2016/2/1,2016/2/1,2021/1/14,2021/1/14,https://patents.google.com/patent/DE102016101729B4/de,https://patentimages.storage.googleapis.com/69/83/47/c9fa3c2ec0ce38/DE102016101729B4_0001.png
DE-102018100879-A1,IoT-Computersystem sowie Anordnung mit einem solchen IoT-Computersystem und einem externen System ,Fujitsu Technology Solutions Intellectual Property Gmbh,"Nils Wittler, J?rgen Atzkem, Timo Bruderek",2017/11/7,2018/1/16,2019/5/9,,https://patents.google.com/patent/DE102018100879A1/de,https://patentimages.storage.googleapis.com/28/ec/68/9b61c43b37fc89/DE102018100879A1_0001.png
DE-202017004114-U1,NB-IoT Messger?t f?r Installationsbetriebe ,Christoph Lotter,,2017/8/7,2017/8/7,2017/11/7,,https://patents.google.com/patent/DE202017004114U1/de,
DE-102017007172-A1,Skalierbares Multikommunikationsinterface f?r universelle Anwendungen ,Helmut Haf,Anmelder Gleich,2017/8/1,2017/8/1,2019/2/7,,https://patents.google.com/patent/DE102017007172A1/de,https://patentimages.storage.googleapis.com/19/14/cb/bcba9bbb8d94b0/DE102017007172A1_0001.png
DE-112018006552-T5,Reduzieren des stromverbrauchs in rechenvorrichtungen mit drahtlosen netzwerkschnittstellen ,Cypress Semiconductor Corporation,"Victor Simileysky, Kamesh MEDAPALLI",2017/12/22,2018/11/1,2020/9/3,,https://patents.google.com/patent/DE112018006552T5/de,https://patentimages.storage.googleapis.com/dc/0b/b8/867f222e83d2ae/DE112018006552T5_0001.png
DE-202017002910-U1,Standard-Platine zur Kommunikation mit Rechenzentren (Cloud-Computing-System) als Standardelement f?r nahezu alle digitalen Nutzanwendungen ,Winrich Hoseit,,2017/5/24,2017/5/24,2017/7/31,,https://patents.google.com/patent/DE202017002910U1/de,https://patentimages.storage.googleapis.com/40/a4/e8/0b60456b9f026c/DE202017002910U1_0002.png
DE-102016218758-A1,Vorrichtung und verfahren zur durchg?ngigen und medien?bergreifenden ?bertragung von kommunikationsprotokollen ohne protokollumsetzung ,Fraunhofer-Gesellschaft zur F?rderung der angewandten Forschung e.V.,"Andreas Oeder, Matthias Klatt, Moritz Loske",2016/9/28,2016/9/28,2018/3/29,,https://patents.google.com/patent/DE102016218758A1/de,https://patentimages.storage.googleapis.com/3e/60/e6/4930b134b7e1c0/DE102016218758A1_0002.png
DE-202017007194-U1,System zur Verwaltung und ?berwachung von Hebesystemen und Geb?udeanlagen ,Chun Ming LAU,,2017/10/16,2017/10/16,2020/1/20,,https://patents.google.com/patent/DE202017007194U1/de,https://patentimages.storage.googleapis.com/cd/e8/7e/a4b03a5966cef9/DE202017007194U1_0005.png
DE-112018000223-T5,Massnahmen zum Erm?glichen des ?bergangs und des Messens einer Bandbreitenanpassung ,Intel IP Corporation,"Rui Huang, Yang Tang, Jie Cui, Hong He",2017/2/3,2018/2/2,2019/9/5,,https://patents.google.com/patent/DE112018000223T5/de,https://patentimages.storage.googleapis.com/d4/7e/83/4ca87c60dc730c/DE112018000223T5_0001.png
DE-102017200544-A1,Bestimmung einer Vorlaufzeit f?r den Austausch eines optischen Rauchmelders in Abh?ngigkeit seiner Verschmutzung ,Siemens Schweiz Ag,"Horst Hilsinger, Joachim Langenscheid",2017/1/13,2017/1/13,2018/7/19,,https://patents.google.com/patent/DE102017200544A1/de,https://patentimages.storage.googleapis.com/99/dc/10/e28fc79298fcd7/DE102017200544A1_0001.png
DE-112018005038-T5,Integrierter halbleiterschaltkreis ,Sony Semiconductor Solutions Corporation,Yoshinori Tanaka,2017/9/11,2018/7/6,2020/7/23,,https://patents.google.com/patent/DE112018005038T5/de,https://patentimages.storage.googleapis.com/e1/17/21/a4408db208b3e3/DE112018005038T5_0001.png
DE-102016124607-A1,"Verfahren zur Verarbeitung einer Benutzereingabe an einer Bedienvorrichtung, Datenverarbeitungsanlage, Fahrzeug und steuerbare Vorrichtung ","Bayerische Motoren Werke Aktiengesellschaft, Deutsche Telekom Ag","Thomas Gehrsitz, Sebastian ZIMMERMANN, Dominik Schnieders",2016/12/16,2016/12/16,2018/6/21,,https://patents.google.com/patent/DE102016124607A1/de,https://patentimages.storage.googleapis.com/68/b2/ab/dd6c5d2b3d9f4f/DE102016124607A1_0001.png
DE-112017004254-T5,Verbesserte zellkennungspositionierung ,Intel Corporation,"Jie Cui, Yang Tang, Anatoliy IOFFE, Shuang Tian",2016/9/29,2017/9/28,2019/5/9,,https://patents.google.com/patent/DE112017004254T5/de,https://patentimages.storage.googleapis.com/f8/5e/f0/cb3cf9fce203cf/DE112017004254T5_0012.png
DE-112018000235-T5,System und verfahren zur single-radio-voice-call-continuity-handover-reduzierung ,Intel IP Corporation,"Alexandre Saso Stojanovski, Changhong SHAN",2017/2/2,2018/1/26,2019/8/14,,https://patents.google.com/patent/DE112018000235T5/de,https://patentimages.storage.googleapis.com/db/d9/8c/1bd888474c1566/DE112018000235T5_0001.png
DE-102017010628-A1,RSSI-Schl?sselableitung in UICC ,Giesecke+Devrient Mobile Security Gmbh,"Stephan Spitz, Ullrich Martini",2017/11/16,2017/11/16,2019/5/16,,https://patents.google.com/patent/DE102017010628A1/de,https://patentimages.storage.googleapis.com/f3/10/40/26727b07bbdacd/DE102017010628A1_0001.png
DE-102016216336-A1,Verfahren zur automatischen Provisionierung eines Endger?tes mit eingebettetem Teilnehmeridentifizierungsmodul (eSIM) ,Vodafone Holding Gmbh,Jan Lukas Haslbeck,2016/8/30,2016/8/30,2018/3/1,,https://patents.google.com/patent/DE102016216336A1/de,https://patentimages.storage.googleapis.com/1c/c1/93/7f601a787cb7d5/DE102016216336A1_0002.png
